Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: Individual customer service information: 

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent 
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys   
-----------------------------------------------------------------------------------------
  44    70.58      11.75      2      2     105.17      34.60      116.92      46.35
  42    64.80      16.99      0      0     106.51      41.72      123.50      58.70
  50    81.95      2.52      1      1     112.13      30.18      114.65      32.70
  53    93.48      2.37      1      1     114.65      21.16      117.02      23.54
  47    73.79      0.74      2      2     116.92      43.14      117.66      43.87
  59    105.73      3.76      1      1     117.02      11.29      120.77      15.04
  58    105.33      6.72      2      2     117.66      12.33      124.38      19.05
  66    116.61      13.98      1      1     120.77      4.16      134.75      18.14
  51    82.12      8.85      0      0     123.50      41.38      132.35      50.23
  60    107.64      9.49      2      2     124.38      16.74      133.87      26.24
  52    92.54      2.87      0      0     132.35      39.81      135.23      42.69
  68    124.49      17.04      2      2     133.87      9.38      150.92      26.42
  67    122.25      22.51      1      1     134.75      12.50      157.27      35.01
  54    96.28      7.20      0      0     135.23      38.94      142.42      46.14
  61    108.81      6.78      0      0     142.42      33.62      149.20      40.40
  73    132.78      7.64      0      0     149.20      16.43      156.84      24.07
  70    131.28      0.35      2      2     150.92      19.64      151.26      19.98
  72    132.20      0.51      2      2     151.26      19.06      151.78      19.58
  75    134.40      2.07      2      2     151.78      17.38      153.85      19.45
  88    151.17      14.70      2      2     153.85      2.67      168.55      17.38
  74    133.82      6.82      0      0     156.84      23.02      163.66      29.84
  69    129.24      1.77      1      1     157.27      28.03      159.03      29.80
  71    132.18      6.63      1      1     159.03      26.85      165.67      33.49
  77    138.90      4.84      0      0     163.66      24.76      168.50      29.61
  76    136.55      7.92      1      1     165.67      29.12      173.58      37.03
  80    145.66      10.21      0      0     168.50      22.84      178.71      33.05
  89    153.08      4.75      2      2     168.55      15.47      173.30      20.22
